,file,video_dtype,video_shape,video_min,video_max,video_mean,video_std,ppg_dtype,ppg_shape,ppg_min,ppg_max,ppg_mean,ppg_std,landmarks_dtype,landmarks_shape,landmarks_min,landmarks_max,landmarks_mean,landmarks_std,face_square,video_duration,patient_id,fold
15,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1113__before.npz,uint8,"(600, 155, 167, 3)",0,255,44.40245972570987,48.68329245,float32,"(600,)",0,182,125.33667,35.57415,int16,"(600, 68, 2)",0,167,74.35698529411765,41.28804944758299,25885,600,1113,3
16,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1115__after.npz,uint8,"(600, 107, 105, 3)",0,224,59.66510206200861,58.269574595302295,float32,"(600,)",3,213,112.02,45.802433,int16,"(600, 68, 2)",0,107,53.56889705882353,26.868894349925196,11235,600,1115,3
17,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1115__before.npz,uint8,"(600, 156, 153, 3)",0,255,52.60611094817794,57.11615970326826,float32,"(600,)",0,212,112.99333,45.526,int16,"(600, 68, 2)",0,156,78.86729166666667,39.20871750266956,23868,600,1115,3
18,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1149__after.npz,uint8,"(600, 125, 140, 3)",0,220,37.33736288888889,52.711415784396166,float32,"(600,)",15,190,105.096664,42.586662,int16,"(600, 68, 2)",0,140,67.04694852941176,33.048044189590925,17500,600,1149,3
19,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1149__before.npz,uint8,"(600, 111, 111, 3)",0,221,54.92034426,56.21365966330847,float32,"(600,)",18,254,125.738335,46.25646,int16,"(600, 68, 2)",0,111,49.37088235294117,25.82409851141634,12321,600,1149,3
20,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1156__after.npz,uint8,"(600, 119, 135, 3)",0,195,46.71803454715219,48.73939072184104,float32,"(600,)",4,225,106.07166,35.752758,int16,"(600, 68, 2)",0,135,60.78446078431372,32.80239692197651,16065,600,1156,1
21,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1156__before.npz,uint8,"(600, 101, 113, 3)",0,212,56.43739639008149,54.02815851516083,float32,"(600,)",36,238,136.68,41.413254,int16,"(600, 68, 2)",0,113,50.85969362745098,27.167993764727154,11413,600,1156,1
22,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1176__after.npz,uint8,"(600, 80, 83, 3)",0,209,69.27452418005355,56.05429938,float32,"(600,)",0,184,126.93667,38.216217,int16,"(600, 68, 2)",0,83,39.56316176470588,21.14484027831378,6640,600,1176,3
23,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1176__before.npz,uint8,"(600, 81, 82, 3)",0,209,70.72775294,57.54116121139029,float32,"(600,)",40,190,123.97667,38.831123,int16,"(600, 68, 2)",0,82,38.45640931372549,21.075590188956856,6642,600,1176,3
24,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1180__after.npz,uint8,"(600, 140, 139, 3)",0,222,40.88531294964029,48.69175824878421,float32,"(600,)",0,255,121.8,54.165028,int16,"(600, 68, 2)",0,140,72.12821078431372,34.805662617310986,19460,600,1180,0
25,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1180__before.npz,uint8,"(600, 136, 137, 3)",0,172,32.74758930275273,39.47107714596059,float32,"(600,)",48,255,151.36333,41.364372,int16,"(600, 68, 2)",0,137,68.81340686,34.82322812886328,18632,600,1180,0
26,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1181__after.npz,uint8,"(600, 90, 93, 3)",0,222,58.219324107261386,52.82441286438346,float32,"(600,)",30,222,120.958336,40.306904,int16,"(600, 68, 2)",0,93,44.39702205882353,23.329335619464004,8370,600,1181,1
27,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1181__before.npz,uint8,"(600, 85, 91, 3)",0,218,61.27934812899519,53.28955063975112,float32,"(600,)",0,237,125.68667,48.60643,int16,"(600, 68, 2)",0,91,42.867720588235294,23.17710853407647,7735,600,1181,1
28,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1213__after.npz,uint8,"(600, 96, 99, 3)",0,203,50.40456684904601,48.25497479,float32,"(600,)",10,210,117.09167,46.63854,int16,"(600, 68, 2)",0,99,48.69425245098039,24.937107386559845,9504,600,1213,0
29,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1213__before.npz,uint8,"(600, 95, 97, 3)",0,205,53.27324899017303,51.259394981909544,float32,"(600,)",25,204,117.183334,41.58986,int16,"(600, 68, 2)",0,97,47.13748774509804,23.649709954743155,9215,600,1213,0
30,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1217__after.npz,uint8,"(600, 89, 96, 3)",0,203,51.53735467384519,51.04391088106881,float32,"(600,)",0,185,94.21167,49.080177,int16,"(600, 68, 2)",0,96,45.82823529411765,22.06364583367963,8544,600,1217,0
31,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1217__before.npz,uint8,"(600, 86, 93, 3)",0,205,55.85268303186908,51.023614731932405,float32,"(600,)",21,183,109.05334,41.069866,int16,"(600, 68, 2)",0,93,43.87574754901961,22.193334210686977,7998,600,1217,0
32,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1234__after.npz,uint8,"(600, 147, 129, 3)",0,255,63.39871442633901,63.79379774023057,float32,"(600,)",0,183,111.03667,36.150593,int16,"(600, 68, 2)",0,147,68.32330882352942,34.30951078386513,18963,600,1234,0
33,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1234__before.npz,uint8,"(600, 126, 125, 3)",0,246,59.942512557319226,58.27963549621224,float32,"(600,)",29,188,117.045,32.957745,int16,"(600, 68, 2)",0,126,60.31404411764706,32.25052254961994,15750,600,1234,0
34,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1259__after.npz,uint8,"(600, 86, 90, 3)",0,214,55.77254737295435,49.80268891,float32,"(600,)",8,224,127.651665,38.310406,int16,"(600, 68, 2)",0,90,42.70360294117647,22.723016571680226,7740,600,1259,0
35,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1259__before.npz,uint8,"(600, 90, 91, 3)",0,214,57.906758987925656,51.941006961360145,float32,"(600,)",0,248,121.985,40.38314,int16,"(600, 68, 2)",0,91,43.066580882352945,22.763404601353653,8190,600,1259,0
36,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1266__after.npz,uint8,"(600, 114, 118, 3)",0,209,21.901807083622426,27.043751919428452,float32,"(600,)",17,250,114.48,55.5665,int16,"(600, 68, 2)",0,118,58.95485294117647,30.853780649549748,13452,600,1266,4
37,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1266__before.npz,uint8,"(600, 116, 122, 3)",0,221,63.74249717354437,56.09702132919329,float32,"(600,)",0,187,95.26667,43.79211,int16,"(600, 68, 2)",0,122,60.24,31.742481323743977,14152,600,1266,4
38,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1275__after.npz,uint8,"(600, 124, 124, 3)",0,141,29.017114948259913,32.39790330933294,float32,"(600,)",2,210,120.043335,44.26087,int16,"(600, 68, 2)",0,124,62.80389705882353,32.61128194817138,15376,600,1275,0
39,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1275__before.npz,uint8,"(600, 120, 119, 3)",0,143,29.439883014316838,32.93598895,float32,"(600,)",23,194,125.738335,39.682823,int16,"(600, 68, 2)",0,120,62.83196078431372,31.183946238699008,14280,600,1275,0
40,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1285__after.npz,uint8,"(600, 117, 118, 3)",0,225,57.39363412847876,57.073213510098874,float32,"(600,)",0,232,107.175,58.41422,int16,"(600, 68, 2)",0,118,57.196666666666665,28.32263564482093,13806,600,1285,4
41,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1285__before.npz,uint8,"(600, 101, 109, 3)",0,235,70.89698565,62.13253139306212,float32,"(600,)",7,194,105.095,38.445583,int16,"(600, 68, 2)",0,109,51.56040441176471,26.860982497272953,11009,600,1285,4
42,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1287__after.npz,uint8,"(600, 75, 81, 3)",0,204,55.50844243255601,53.222501194842174,float32,"(600,)",0,206,116.24333,37.931087,int16,"(600, 68, 2)",0,81,37.28910539215686,19.303023077615872,6075,600,1287,3
43,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1287__before.npz,uint8,"(600, 77, 81, 3)",0,200,45.88538221723407,49.25835099,float32,"(600,)",0,210,101.295,46.37465,int16,"(600, 68, 2)",0,81,37.856776960784316,19.31279709852721,6237,600,1287,3
44,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1292__after.npz,uint8,"(600, 87, 97, 3)",0,221,61.53428888362234,58.36109531537617,float32,"(600,)",0,211,112.67834,38.566586,int16,"(600, 68, 2)",0,97,43.43699754901961,23.36059981739393,8439,600,1292,0
45,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1292__before.npz,uint8,"(600, 84, 93, 3)",0,215,67.30738685498095,58.55223834493163,float32,"(600,)",0,186,79.63333,36.004845,int16,"(600, 68, 2)",0,93,42.42533088235294,23.062940585372857,7812,600,1292,0
46,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1298__after.npz,uint8,"(600, 79, 83, 3)",0,211,65.98009303034925,54.22006818865512,float32,"(600,)",0,214,116.92834,43.386707,int16,"(600, 68, 2)",0,83,38.75414215686275,20.65208934023496,6557,600,1298,3
47,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1298__before.npz,uint8,"(600, 78, 84, 3)",0,213,64.23851512684845,53.443815501679616,float32,"(600,)",0,212,114.965,44.53849,int16,"(600, 68, 2)",0,84,37.96475490196078,20.89668640912007,6552,600,1298,3
48,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1305__after.npz,uint8,"(600, 130, 131, 3)",0,247,80.64033956,69.19014768745146,float32,"(600,)",7,255,117.645,46.659645,int16,"(600, 68, 2)",0,131,61.65148284313725,33.906372947834555,17030,600,1305,4
49,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1305__before.npz,uint8,"(600, 130, 130, 3)",0,255,91.17033639053254,73.59839929001086,float32,"(600,)",0,244,128.405,50.460423,int16,"(600, 68, 2)",0,130,62.74621323529412,33.675527007588826,16900,600,1305,4
50,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1314__after.npz,uint8,"(600, 92, 96, 3)",0,210,64.13887108745975,53.67806537735595,float32,"(600,)",61,189,121.988335,38.002388,int16,"(600, 68, 2)",0,96,45.040723039215685,24.02425645065058,8832,600,1314,1
51,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1314__before.npz,uint8,"(600, 94, 97, 3)",0,213,59.96965903828812,53.91451221993732,float32,"(600,)",50,184,124.71333,40.401955,int16,"(600, 68, 2)",0,97,44.090661764705885,23.69282314709909,9118,600,1314,1
52,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1360__after.npz,uint8,"(600, 133, 130, 3)",0,176,48.554759205706574,47.48698810428142,float32,"(600,)",32,163,88.166664,28.384893,int16,"(600, 68, 2)",0,133,62.99710784313726,34.076955030994895,17290,600,1360,3
53,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1360__before.npz,uint8,"(600, 142, 136, 3)",0,187,54.329394044002576,51.47966514470337,float32,"(600,)",41,197,119.098335,38.4931,int16,"(600, 68, 2)",0,142,65.55909314,35.91955592984423,19312,600,1360,3
54,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1362__after.npz,uint8,"(600, 126, 128, 3)",0,237,51.80457906194886,49.66039398245574,float32,"(600,)",34,189,113.96833,40.17699,int16,"(600, 68, 2)",0,128,62.651360294117644,32.90764195266647,16128,600,1362,0
55,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1362__before.npz,uint8,"(600, 151, 150, 3)",0,175,43.51356271768457,43.056031651516086,float32,"(600,)",31,191,128.75,44.238945,int16,"(600, 68, 2)",0,151,73.94273284313725,38.46638133,22650,600,1362,0
56,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1386__after.npz,uint8,"(600, 141, 145, 3)",0,232,50.26094415912611,52.28841523674512,float32,"(600,)",0,255,104.94666,60.043823,int16,"(600, 68, 2)",0,145,69.40998774509804,35.459188578656345,20445,600,1386,2
57,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1386__before.npz,uint8,"(600, 134, 140, 3)",0,232,55.27765100094764,52.93932338062763,float32,"(600,)",0,255,140.54167,55.839787,int16,"(600, 68, 2)",0,140,67.72286764705882,35.77904190746052,18760,600,1386,2
58,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1399__after.npz,uint8,"(600, 91, 93, 3)",0,196,50.278877663555086,49.91112821248941,float32,"(600,)",20,212,115.77167,50.17406,int16,"(600, 68, 2)",0,93,45.586188725490196,21.674399214453903,8463,600,1399,0
59,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1399__before.npz,uint8,"(600, 82, 87, 3)",0,193,58.07316053016852,49.03037595061964,float32,"(600,)",12,215,121.096664,61.071304,int16,"(600, 68, 2)",0,87,39.76403186,21.08577528876746,7134,600,1399,0
60,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1414__after.npz,uint8,"(600, 109, 116, 3)",0,229,73.39776846286337,56.83171478620733,float32,"(600,)",0,197,120.221664,53.465244,int16,"(600, 68, 2)",0,116,53.90626225490196,29.079190389784582,12644,600,1414,1
61,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1414__before.npz,uint8,"(600, 123, 127, 3)",0,234,72.71644588125672,58.84845229500917,float32,"(600,)",36,202,120.34167,43.015907,int16,"(600, 68, 2)",0,127,61.24154411764706,31.531056734466915,15621,600,1414,1
62,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1442__after.npz,uint8,"(600, 81, 87, 3)",0,201,54.55178026898759,50.58253560527269,float32,"(600,)",0,208,123.65833,39.277283,int16,"(600, 68, 2)",0,87,36.08278186,20.783577194186996,7047,600,1442,2
63,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1442__before.npz,uint8,"(600, 81, 88, 3)",0,199,57.16366255144033,51.100235059319445,float32,"(600,)",0,222,108.43166,47.271683,int16,"(600, 68, 2)",0,88,37.21525735294118,21.220138766558637,7128,600,1442,2
64,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1474__after.npz,uint8,"(600, 119, 133, 3)",0,255,38.29738418174287,44.31711927950471,float32,"(600,)",5,255,126.79667,40.154392,int16,"(600, 68, 2)",0,133,61.39078431372549,33.13921664398555,15827,600,1474,1
65,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1474__before.npz,uint8,"(600, 132, 136, 3)",0,239,34.71293371831056,38.574294427755945,float32,"(600,)",30,223,124.13,39.79187,int16,"(600, 68, 2)",0,136,64.60432598039216,34.13465763,17952,600,1474,1
66,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1477__after.npz,uint8,"(600, 113, 113, 3)",0,212,52.09845981,51.785792228240425,float32,"(600,)",0,204,111.755,37.36422,int16,"(600, 68, 2)",0,113,53.09359068627451,29.113926879286865,12769,600,1477,0
67,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1477__before.npz,uint8,"(600, 130, 126, 3)",0,181,45.288867080450416,44.506873718382046,float32,"(600,)",34,239,119.18667,45.403175,int16,"(600, 68, 2)",0,130,61.02930147058824,33.58149382037873,16380,600,1477,0
68,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1513__after.npz,uint8,"(600, 82, 91, 3)",0,232,64.82759269186099,59.35303253783807,float32,"(600,)",0,212,119.73167,45.8064,int16,"(600, 68, 2)",0,91,41.86982843137255,21.739717345556308,7462,600,1513,3
69,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1513__before.npz,uint8,"(600, 82, 92, 3)",0,243,67.97382371568281,61.82489780725229,float32,"(600,)",34,209,128.33,36.12429,int16,"(600, 68, 2)",0,92,43.12497549019608,22.073481200375277,7544,600,1513,3
70,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1531__after.npz,uint8,"(600, 85, 92, 3)",0,201,50.721644288150046,54.448487971738636,float32,"(600,)",22,178,116.53,37.91797,int16,"(600, 68, 2)",0,92,40.20742647058824,21.482628384313568,7820,600,1531,4
71,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1531__before.npz,uint8,"(600, 78, 86, 3)",0,208,70.25044250645995,58.979130084219285,float32,"(600,)",4,199,119.53167,41.976807,int16,"(600, 68, 2)",0,86,37.454301470588234,20.55518445,6708,600,1531,4
72,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1541__after.npz,uint8,"(600, 120, 138, 3)",0,224,58.81168773483628,53.91365827900086,float32,"(600,)",0,240,122.295,45.13223,int16,"(600, 68, 2)",0,138,66.85176470588236,34.982466361995776,16560,600,1541,3
73,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1541__before.npz,uint8,"(600, 148, 161, 3)",0,183,42.68424069255591,44.797601056967956,float32,"(600,)",13,255,121.456665,57.837574,int16,"(600, 68, 2)",0,161,72.15093137254902,39.80905022133412,23828,600,1541,3
74,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1543__after.npz,uint8,"(600, 139, 133, 3)",0,244,74.01628787195807,62.59308131721383,float32,"(600,)",22,202,119.6,38.56073,int16,"(600, 68, 2)",0,139,67.16257352941176,34.53594946054984,18487,600,1543,3
75,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1543__before.npz,uint8,"(600, 164, 156, 3)",0,255,80.27919880480856,67.89892939604319,float32,"(600,)",26,208,125.55666,42.52235,int16,"(600, 68, 2)",0,164,76.41833333333334,41.45831177061219,25584,600,1543,3
76,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1563__after.npz,uint8,"(600, 92, 97, 3)",0,211,59.976089633447884,54.855822166000564,float32,"(600,)",16,203,114.46,46.926697,int16,"(600, 68, 2)",0,97,45.516029411764706,23.81999516222761,8924,600,1563,1
77,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1563__before.npz,uint8,"(600, 96, 95, 3)",0,202,55.53816075779727,51.01236071584364,float32,"(600,)",0,177,101.6,36.522778,int16,"(600, 68, 2)",0,96,47.65620098039216,24.403704582135802,9120,600,1563,1
78,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1581__after.npz,uint8,"(600, 110, 114, 3)",0,237,70.12471012759171,59.50539620742214,float32,"(600,)",44,189,126.10667,33.131737,int16,"(600, 68, 2)",0,114,53.673529411764704,28.975444899968245,12540,600,1581,3
79,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1581__before.npz,uint8,"(600, 107, 119, 3)",0,240,69.74811046536995,59.59538273,float32,"(600,)",6,181,123.92167,38.689995,int16,"(600, 68, 2)",0,119,54.96609068627451,29.804046140329895,12733,600,1581,3
80,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1589__after.npz,uint8,"(600, 77, 82, 3)",0,208,61.14314521521839,53.39406652,float32,"(600,)",20,198,114.28833,36.522575,int16,"(600, 68, 2)",0,82,37.916850490196076,20.09389687320944,6314,600,1589,0
81,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1589__before.npz,uint8,"(600, 84, 84, 3)",0,212,58.22951735323759,55.62452015,float32,"(600,)",17,203,108.645,40.91445,int16,"(600, 68, 2)",0,84,41.17696078431373,20.374353919226817,7056,600,1589,0
82,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1601__after.npz,uint8,"(600, 143, 151, 3)",0,255,28.607413282082156,36.70461117177994,float32,"(600,)",0,242,120.09167,46.0953,int16,"(600, 68, 2)",0,151,73.79319852941177,36.43819324251977,21593,600,1601,1
83,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1601__before.npz,uint8,"(600, 107, 118, 3)",0,223,65.23630229508774,56.74563518610676,float32,"(600,)",0,234,98.845,44.845707,int16,"(600, 68, 2)",0,118,54.16072303921569,28.673440500984338,12626,600,1601,1
84,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1609__after.npz,uint8,"(600, 81, 87, 3)",0,203,51.35986006653738,53.95809197099133,float32,"(600,)",26,203,123.596664,37.616272,int16,"(600, 68, 2)",0,87,41.00469362745098,20.277745215113956,7047,600,1609,3
85,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1609__before.npz,uint8,"(600, 88, 88, 3)",0,202,48.56892770029844,54.21059989,float32,"(600,)",0,218,122.246666,38.592346,int16,"(600, 68, 2)",0,88,45.307132352941174,19.939695434772876,7744,600,1609,3
86,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1610__after.npz,uint8,"(600, 140, 145, 3)",0,255,37.15394863163656,38.92016676010476,float32,"(600,)",36,209,123.25667,39.56199,int16,"(600, 68, 2)",0,145,67.53339460784314,36.447083082083864,20300,600,1610,1
87,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1610__before.npz,uint8,"(600, 190, 166, 3)",0,241,27.270827996195308,36.01472823322207,float32,"(600,)",39,189,125.50833,37.70725,int16,"(600, 68, 2)",0,190,87.60259803921569,41.763195203939425,31540,600,1610,1
88,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1649__after.npz,uint8,"(600, 116, 129, 3)",0,249,66.41039171790074,66.23238593789078,float32,"(600,)",0,180,79.496666,28.853306,int16,"(600, 68, 2)",0,129,58.67709559,30.25916624850375,14964,600,1649,1
89,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1649__before.npz,uint8,"(600, 115, 121, 3)",0,244,70.62205852996367,65.22294079612644,float32,"(600,)",0,181,98.613335,36.441284,int16,"(600, 68, 2)",0,121,56.83274509803922,29.626119426417596,13915,600,1649,1
90,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1672__after.npz,uint8,"(600, 74, 85, 3)",0,213,73.93262639109697,57.29782124239757,float32,"(600,)",17,221,117.18,46.316673,int16,"(600, 68, 2)",0,85,35.37464460784314,20.159022131059807,6290,600,1672,3
91,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1672__before.npz,uint8,"(600, 75, 84, 3)",0,219,75.39372689594356,57.49260457644324,float32,"(600,)",0,234,104.51,49.143364,int16,"(600, 68, 2)",0,84,36.206384803921566,20.34933252552228,6300,600,1672,3
92,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1715__after.npz,uint8,"(600, 129, 132, 3)",0,198,53.06387355466813,52.63738235,float32,"(600,)",6,255,120.74333,51.609825,int16,"(600, 68, 2)",0,132,61.50033088235294,34.47658163540965,17028,600,1715,4
93,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1715__before.npz,uint8,"(600, 109, 108, 3)",0,237,70.01525734322497,60.73069240396774,float32,"(600,)",0,169,83.486664,35.02518,int16,"(600, 68, 2)",0,109,51.31938725490196,28.361516864234005,11772,600,1715,4
94,/gim/lv03/datasets/rppg/preprocessed/mcd_rppg__1745__after.npz,uint8,"(600, 108, 113, 3)",0,204,53.766719882370076,53.338363984373885,float32,"(600,)",28,207,104.598335,41.11711,int16,"(600, 68, 2)",0,113,57.95920343137255,28.73468202079269,12204,600,1745,4
